"","Bac_OTU","Domain","Phylum","Class","Order","Family","Bac_Family_Mean"
"26","OTU277","Bacteria","Pseudomonadota","uncl_Pseudomonadota","uncl_Pseudomonadota","uncl_Pseudomonadota",0.0321472394190969
"10","OTU195","Bacteria","Mycoplasmatota","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",0.022971354151835
"23","OTU257","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","uncl_Erysipelotrichales",0.0219272016903879
"16","OTU223","Bacteria","Pseudomonadota","Alphaproteobacteria","uncl_Alphaproteobacteria","uncl_Alphaproteobacteria",0.0175923869261987
"25","OTU27","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillales_Incertae Sedis XI",0.0167064393831527
"35","OTU315","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","uncl_Eggerthellales",0.0157888508564265
"81","OTU98","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae",0.0149978262644212
"40","OTU347","Bacteria","Bacillota","Clostridia","Eubacteriales","Christensenellaceae",0.0141751606887356
"78","OTU85","Bacteria","Bacillota","Bacilli","Caryophanales","Staphylococcaceae",0.0108528574023132
"77","OTU824","Bacteria","Bacillota","Bacilli","Caryophanales","Paenibacillaceae",0.00452466066627052
"80","OTU894","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","uncl_Nostocales",0.00452466066627052
"3","OTU118","Bacteria","Pseudomonadota","Deltaproteobacteria","Desulfovibrionales","uncl_Desulfovibrionales",0.00341722623746305
"63","OTU590","Bacteria","Bacillota","Bacilli","Caryophanales","Caryophanaceae",0.00332230328642241
"44","OTU3888","Bacteria","Bacillota","Bacilli","Caryophanales","Bacillaceae",0.00234143279233579
"47","OTU412","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae",0.00155040820033046
"55","OTU472","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Corynebacteriaceae",0.00151876721665024
"27","OTU2792","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Scytonemataceae",0.00145548524928982
